Name,xBABIP,BABIP,LD%,TrueFB%,TrueIFFB%,Hard%,Spd,Pull GB While Shifted
Victor Martinez,0.26033402959690727,0.259,0.215,0.34169099999999997,0.029309,0.395,0.4,0.0019051494845360821
Adrian Beltre,0.3409085480282051,0.375,0.32,0.27064099999999996,0.016359,0.418,2.0,0.0004198717948717949
Todd Frazier,0.30829666937669903,0.262,0.254,0.306544,0.06145599999999999,0.465,4.1,0.0017843446601941747
Ichiro Suzuki,0.1934601026,0.243,0.139,0.278154,0.027846,0.135,2.1,0.0
Andrew Romine,0.2283089609,0.222,0.19399999999999998,0.305361,0.027638999999999997,0.158,5.4,0.0
Albert Pujols,0.2655335997799044,0.261,0.23399999999999999,0.30164399999999997,0.07635599999999998,0.405,1.0,0.0012887655502392343
Wilson Ramos,0.295643971448,0.331,0.222,0.2574,0.0176,0.39799999999999996,0.7,0.00051306
Chase Utley,0.2842514241339535,0.264,0.264,0.321885,0.023115,0.284,5.5,0.0013680453488372096
Jose Reyes,0.2570206936,0.176,0.19399999999999998,0.253544,0.07445599999999998,0.29,5.2,0.0
Miguel Cabrera,0.3455977060837647,0.352,0.25,0.185436,0.018563999999999997,0.46299999999999997,1.0,0.00016636941176470592
Joe Mauer,0.32149505792666666,0.323,0.242,0.195567,0.023432999999999995,0.395,1.3,0.0009445333333333333
Jose Bautista,0.254340577925,0.265,0.21600000000000003,0.37303200000000003,0.09796800000000001,0.49,1.9,0.0011284374999999999
Adrian Gonzalez,0.29093458316275,0.26,0.243,0.316548,0.007452,0.402,0.7,0.001693820625
Zack Greinke,0.2938543219,0.353,0.294,0.235451,0.11754899999999999,0.35,4.4,0.0
Ivan Nova,0.1717253013,0.0,0.154,0.15407700000000002,0.07692299999999999,0.0,0.1,0.0
David Peralta,0.31826041054651166,0.315,0.198,0.286605,0.010395,0.47600000000000003,4.3,0.0007046511627906977
Edwin Encarnacion,0.22916387279999997,0.248,0.201,0.44320099999999996,0.029799,0.396,1.3,0.0006792500000000001
Carlos Santana,0.19155274115954404,0.227,0.12300000000000001,0.384076,0.08892399999999999,0.358,3.1,0.0019437214507772023
Nelson Cruz,0.22276024387105264,0.239,0.145,0.37184799999999996,0.052152000000000004,0.401,1.6,0.0005134539473684211
Pedro Alvarez,0.17307384342800006,0.179,0.10800000000000001,0.44603899999999996,0.026961,0.307,1.7,0.0029916599999999997
Lucas Duda,0.26377165097199995,0.306,0.284,0.391779,0.039221,0.373,0.8,0.0015648399999999999
Yonder Alonso,0.21704031441537103,0.273,0.17,0.368483,0.06451699999999999,0.366,1.2,0.0017544791194968553
Pete Kozma,0.2160610765,0.188,0.152,0.39448500000000003,0.060515000000000006,0.364,3.7,0.0
Peter Bourjos,0.27805292,0.269,0.2,0.28,0.04,0.34600000000000003,4.8,0.0
Jhoulys Chacin,0.2847807,0.235,0.17600000000000002,0.059000000000000004,0.059000000000000004,0.25,1.1,0.0
Zack Cozart,0.25127832241932585,0.244,0.212,0.33741599999999994,0.07058400000000001,0.368,3.4,0.000499785393258427
Brandon Guyer,0.20851038,0.167,0.14300000000000002,0.429,0.0,0.349,0.6,0.0
Tony Cruz,0.29998308,0.214,0.2,0.33320000000000005,0.0668,0.6,1.6,0.0
Manny Pina,0.2787967301280992,0.236,0.23600000000000002,0.291611,0.03938900000000001,0.36200000000000004,2.0,0.00042584297520661154
Roberto Perez,0.2727532330665116,0.217,0.13,0.260528,0.043472000000000004,0.426,4.1,0.00048130116279069765
Tommy Pham,0.3402494315,0.327,0.228,0.24543500000000001,0.011565,0.45899999999999996,4.9,0.0
Mitch Moreland,0.2712473124347717,0.31,0.19399999999999998,0.359788,0.014211999999999999,0.389,4.4,0.002174830866141732
Gregor Blanco,0.31328898684109585,0.341,0.304,0.227962,0.03803800000000001,0.23800000000000002,6.2,0.00035342465753424653
Max Scherzer,0.30363394,0.31,0.207,0.138,0.0,0.207,4.6,0.0
Robinson Chirinos,0.2352680752,0.305,0.191,0.49420800000000004,0.033792,0.478,2.5,0.0
Shin-Soo Choo,0.308067362540884,0.332,0.212,0.293001,0.009999000000000001,0.452,2.8,0.002624627071823204
Welington Castillo,0.25813063126727276,0.325,0.217,0.312987,0.048013,0.374,0.7,0.0012046181818181822
Robinson Cano,0.2873933389926957,0.314,0.205,0.3116,0.016399999999999998,0.434,1.7,0.001119175652173913
Charlie Culberson,0.2662683704,0.325,0.138,0.275616,0.012384000000000001,0.313,6.3,0.0
Martin Prado,0.27855243999999996,0.231,0.256,0.308,0.0,0.282,2.2,0.0
Matt Joyce,0.2386776773277949,0.222,0.226,0.41064,0.024359999999999996,0.336,2.0,0.0017919482051282046
Nick Hundley,0.27120505978082193,0.288,0.259,0.419136,0.024863999999999997,0.40700000000000003,2.9,0.00022706849315068495
Cliff Pennington,0.275735,0.25,0.25,0.25,0.0,0.25,0.2,0.0
Ryan Braun,0.3158276614195489,0.272,0.243,0.277984,0.014015999999999999,0.368,5.7,0.00023075187969924814
Drew Butera,0.20277187119999998,0.197,0.231,0.41524800000000006,0.076752,0.299,0.9,0.0
Jeff Mathis,0.20831446439999998,0.275,0.154,0.410276,0.025724,0.3,3.3,0.0
Anthony Rizzo,0.2636084502648539,0.239,0.253,0.360873,0.036127,0.33299999999999996,3.1,0.001750425168539326
Eric Hosmer,0.34203101254895335,0.344,0.24,0.176293,0.014707,0.40700000000000003,3.1,0.0010487878756476683
Clayton Richard,0.3227375,0.2,0.4,0.2,0.0,0.125,1.6,0.0
Rene Rivera,0.28381996750000005,0.367,0.25,0.343875,0.031125,0.424,1.2,0.0
Rajai Davis,0.2909795987,0.276,0.22699999999999998,0.27292299999999997,0.034077,0.3,6.8,0.0
Eric Thames,0.2602022725192,0.222,0.185,0.42568500000000004,0.05531500000000001,0.5,4.6,0.0019370239999999999
Gregorio Petit,0.282644,0.4,0.3,0.3,0.0,0.2,3.4,0.0
Chris Young,0.18042446839999995,0.19,0.17600000000000002,0.382432,0.16156800000000002,0.275,7.1,0.0011469999999999998
Josh Reddick,0.23171032458429272,0.272,0.20800000000000002,0.377125,0.053875,0.321,3.2,0.001345227317073171
Melky Cabrera,0.2592726106,0.231,0.192,0.288414,0.038586,0.34600000000000003,2.0,0.000555
Dexter Fowler,0.2509246918917647,0.199,0.205,0.4112640000000001,0.020736000000000004,0.377,3.7,0.001012129411764706
Michael Brantley,0.28998900786000004,0.313,0.21600000000000003,0.320117,0.008883,0.387,3.7,0.0009632
Derek Holland,0.25082677999999997,0.167,0.0,0.16699999999999998,0.0,0.429,0.1,0.0
Gorkys Hernandez,0.2931459724,0.374,0.231,0.268596,0.05540400000000001,0.365,5.1,0.0
Jake Arrieta,0.33892600000000006,0.375,0.375,0.25,0.0,0.3,0.8,0.0
Ryan Zimmerman,0.29239507056976743,0.233,0.22,0.31883500000000004,0.022165,0.418,3.3,0.00030697674418604654
Howie Kendrick,0.30751504119999995,0.35,0.242,0.257748,0.024251999999999996,0.395,2.3,0.0
Jose Lobaton,0.30093369815925003,0.219,0.188,0.21899999999999997,0.0,0.344,3.4,0.001377894375
Matt Wieters,0.19547972817456,0.24,0.20800000000000002,0.37757999999999997,0.056420000000000005,0.226,1.0,0.0015126932
Joey Votto,0.3545157735162827,0.343,0.34299999999999997,0.281,0.0,0.4,3.2,0.0013393195959595957
Daniel Murphy,0.22593106000000002,0.125,0.375,0.43799999999999994,0.0,0.063,1.6,0.0
Erik Kratz,0.26084080000000004,0.304,0.154,0.423,0.0,0.5,2.2,0.0
Jed Lowrie,0.25929554496000007,0.341,0.225,0.38923199999999997,0.018768,0.39299999999999996,1.5,0.0008052000000000001
Starlin Castro,0.30203956155483874,0.338,0.225,0.265518,0.031481999999999996,0.374,4.7,0.00046161290322580646
Russell Martin,0.21347439633529414,0.192,0.136,0.30921699999999996,0.063783,0.327,1.4,0.00034658823529411763
Brandon McCarthy,0.40161728,0.222,0.375,0.125,0.0,0.364,2.6,0.0
Chase Headley,0.2883647630714286,0.188,0.21899999999999997,0.281,0.0,0.375,0.6,0.0007730357142857143
Curtis Granderson,0.33099615085999995,0.354,0.327,0.326624,0.019376,0.41,3.6,0.00240345
Brian McCann,0.161361922576,0.238,0.2,0.43820099999999995,0.10479899999999999,0.245,1.5,0.00133897
Jarrod Dyson,0.2557948738,0.203,0.20600000000000002,0.24460199999999999,0.07639800000000001,0.21,7.8,0.0
Carlos Gomez,0.21026106700000002,0.229,0.184,0.41503,0.07497,0.303,5.7,0.0
Mike Moustakas,0.26901521865158884,0.266,0.231,0.35397000000000006,0.08303,0.446,3.6,0.0017606859813084114
Ender Inciarte,0.26165106709999997,0.27,0.19399999999999998,0.30135899999999993,0.021640999999999997,0.255,6.4,0.0
Jon Lester,0.26282736,0.2,0.16699999999999998,0.16699999999999998,0.0,0.20800000000000002,1.1,0.0
Jason Heyward,0.2244324000917647,0.283,0.172,0.343476,0.079524,0.32899999999999996,4.2,0.000962629411764706
Giancarlo Stanton,0.26454495047957893,0.303,0.16399999999999998,0.33304,0.03496,0.409,4.4,0.0006984284210526314
Asdrubal Cabrera,0.28482120169975,0.297,0.21600000000000003,0.333597,0.029403,0.449,2.0,0.0012088981250000003
Luis Valbuena,0.23960909450750004,0.3,0.20199999999999999,0.387612,0.056388,0.397,2.2,0.00204080625
Josh Donaldson,0.27519021619298883,0.303,0.191,0.29799000000000003,0.03201,0.37200000000000005,4.0,0.0005580080898876404
Jefry Marte,0.25588621202218753,0.297,0.239,0.298214,0.05978599999999999,0.284,3.3,0.0006520414062499999
Alex Gordon,0.3124882712875,0.306,0.217,0.23036399999999999,0.006635999999999999,0.375,3.2,0.00277265625
Justin Upton,0.291373016877037,0.307,0.21,0.35335,0.016649999999999998,0.45299999999999996,3.7,0.0005808185185185186
Cameron Maybin,0.3130648616,0.283,0.272,0.248064,0.023936000000000002,0.33899999999999997,3.4,0.0
Jon Jay,0.3313554547955294,0.369,0.21899999999999997,0.178425,0.004575,0.355,4.5,0.0002588988235294118
Justin Turner,0.21698626869999998,0.263,0.183,0.426423,0.036577,0.366,1.3,0.0
Robbie Grossman,0.24640378196819998,0.291,0.248,0.36452999999999997,0.05447,0.349,0.9,0.0007577415
Sandy Leon,0.21687835306229508,0.292,0.152,0.408736,0.015264000000000002,0.303,4.1,0.0012650491803278686
Francisco Cervelli,0.2179378656,0.28,0.17300000000000001,0.45662400000000003,0.047376,0.386,4.0,0.0
Aaron Hicks,0.2702837370285255,0.264,0.192,0.36291300000000004,0.048087,0.41600000000000004,6.0,0.0011984763503649636
Brandon Crawford,0.31386895535794596,0.37,0.27699999999999997,0.266409,0.030591,0.381,2.7,0.0005950183783783784
Yangervis Solarte,0.2454472059213145,0.253,0.228,0.306446,0.064554,0.306,1.8,0.001033186854460094
Freddie Freeman,0.332935471625,0.373,0.301,0.361,0.0,0.457,4.0,0.0016371875
Juan Lagares,0.298651024,0.392,0.22,0.17996,0.04004,0.235,7.1,0.0
Jake Smolinski,0.2006223894,0.148,0.111,0.33292600000000006,0.074074,0.222,8.5,0.0
Pablo Sandoval,0.27852346966371433,0.341,0.21100000000000002,0.255331,0.055668999999999996,0.41100000000000003,0.5,0.0005874278571428572
Jose Altuve,0.32823346638215767,0.381,0.27699999999999997,0.296949,0.012051,0.387,5.6,0.00018037344398340245
Ji-Man Choi,0.3160753975,0.357,0.25,0.312375,0.06262499999999999,0.563,1.3,0.0
Jose Pirela,0.29680113284722576,0.339,0.203,0.21200200000000002,0.053998000000000004,0.35600000000000004,4.9,0.00011542193548387098
Abraham Almonte,0.232303708968,0.217,0.096,0.37403400000000003,0.011966000000000001,0.379,5.2,0.0003729600000000001
Austin Romine,0.2922305756,0.358,0.263,0.280924,0.035076,0.368,1.3,0.0
Marwin Gonzalez,0.291196110785,0.333,0.23399999999999999,0.341867,0.019132999999999997,0.39,4.6,0.0009426375
Matt Kemp,0.2996008164260392,0.396,0.259,0.36784,0.01216,0.47,1.2,0.000570238431372549
Devin Mesoraco,0.2142379060469524,0.233,0.185,0.326056,0.097944,0.337,1.2,0.0011030854761904761
Steven Souza Jr.,0.20291890177333335,0.233,0.1,0.366318,0.066682,0.4,2.0,0.0008094666666666668
A.J. Ellis,0.30865113439999997,0.387,0.258,0.22577599999999998,0.048223999999999996,0.406,0.8,0.0
Hernan Perez,0.25448938320000003,0.311,0.20800000000000002,0.311328,0.056672,0.327,3.7,0.0
Avisail Garcia,0.27354383489999995,0.286,0.14,0.228021,0.034979,0.40399999999999997,1.9,0.0
Wilmer Flores,0.18783067399999998,0.26,0.159,0.42966,0.06534000000000001,0.34600000000000003,0.9,0.0
Leury Garcia,0.32431852,0.326,0.209,0.22,0.0,0.326,7.5,0.0
Nick Markakis,0.3019981113371428,0.343,0.257,0.288192,0.015808000000000003,0.379,2.0,0.00030102857142857146
Jean Segura,0.29984923010000003,0.376,0.225,0.204829,0.052171,0.29100000000000004,6.6,0.0
Jesus Sucre,0.26631443039999997,0.222,0.222,0.31701599999999996,0.015983999999999998,0.308,2.9,0.0
Didi Gregorius,0.24155007658387098,0.25,0.177,0.413589,0.039410999999999995,0.369,6.1,0.0007637903225806452
Moises Sierra,0.2210138,0.25,0.083,0.278,0.0,0.25,3.7,0.0
Eduardo Escobar,0.26846443535000003,0.354,0.254,0.430464,0.041536000000000003,0.435,3.4,0.0007031250000000001
J.D. Martinez,0.31910655135585886,0.353,0.214,0.31783199999999995,0.005167999999999999,0.505,3.2,0.0009732536470588233
Ian Kinsler,0.21699633741790095,0.206,0.183,0.40803,0.060969999999999996,0.32899999999999996,4.2,0.0007389382178217822
Alcides Escobar,0.26522530399999994,0.224,0.185,0.30536,0.04164,0.341,5.3,0.0
Danny Valencia,0.2473408683807018,0.307,0.2,0.33293999999999996,0.025060000000000002,0.308,2.5,0.000553469298245614
Adam Jones,0.24187256185658668,0.319,0.214,0.350489,0.038511000000000004,0.33899999999999997,0.9,0.0003463957333333334
Jordy Mercer,0.253549582616568,0.306,0.237,0.35607,0.03393,0.311,2.9,6.179881656804734e-05
Bobby Wilson,0.17765140799999998,0.171,0.095,0.33372,0.07128000000000001,0.302,0.7,0.0
Sean Rodriguez,0.1831498399,0.219,0.16399999999999998,0.432471,0.074529,0.254,5.3,0.0
Freddy Galvis,0.2936355100357405,0.295,0.21,0.297346,0.019654,0.39299999999999996,4.1,0.0003552102162162162
J.B. Shuck,0.2643467350764706,0.228,0.209,0.24195600000000003,0.04404400000000001,0.237,5.0,0.00033419117647058826
Julio Teheran,0.16752749999999997,0.176,0.059000000000000004,0.2352,0.0588,0.191,0.1,0.0
Eduardo Nunez,0.249059372,0.287,0.18100000000000002,0.23088000000000003,0.06512000000000001,0.265,3.7,0.0
Mark Trumbo,0.275509126936198,0.317,0.22899999999999998,0.28538099999999994,0.047619,0.381,1.2,0.0003594635643564356
Ian Desmond,0.31773614000000006,0.23,0.183,0.18899999999999997,0.0,0.337,5.7,0.0
Martin Maldonado,0.2409850698,0.313,0.233,0.368242,0.03775800000000001,0.319,1.3,0.0
Chase Anderson,0.27637443999999994,0.333,0.2,0.2,0.0,0.222,2.6,0.0
Yadier Molina,0.327509837,0.266,0.26899999999999996,0.28413,0.03087,0.47700000000000004,2.2,0.0
Caleb Joseph,0.25157364000000004,0.25,0.245,0.377,0.0,0.222,4.9,0.0
Juan Centeno,0.3008237382758621,0.172,0.233,0.267,0.0,0.36700000000000005,1.6,0.00028017241379310343
Logan Forsythe,0.22141567825456604,0.243,0.174,0.376243,0.036757000000000005,0.294,3.6,0.0003894667924528301
Matt Davidson,0.27004652573170207,0.323,0.213,0.34276,0.03724,0.444,0.7,0.000985243085106383
Carlos Gonzalez,0.24347539321300812,0.325,0.16,0.327936,0.038064,0.311,5.5,0.0019419918699186993
Salvador Perez,0.2505704736291391,0.224,0.19,0.41722000000000004,0.042780000000000006,0.466,2.4,0.0009642384105960264
Chris Gimenez,0.1981371125,0.188,0.125,0.25012500000000004,0.12487499999999999,0.25,4.7,0.0
Ben Zobrist,0.286223011575,0.307,0.242,0.320013,0.012986999999999999,0.344,3.5,0.0010890625
Gio Gonzalez,0.268096,0.125,0.0,0.0,0.0,0.3,0.1,0.0
Alex Avila,0.32549264823199997,0.196,0.271,0.292,0.0,0.45799999999999996,0.6,0.00408654
Neil Walker,0.23306596014194497,0.255,0.17,0.3843,0.0357,0.375,2.5,0.0011743288073394497
Lonnie Chisenhall,0.309134252116093,0.409,0.27899999999999997,0.395,0.0,0.386,6.6,0.0007068893023255815
Mark Reynolds,0.21872131382666665,0.267,0.13699999999999998,0.352558,0.078442,0.431,0.9,0.0008045333333333333
Miguel Rojas,0.2601527075,0.241,0.21,0.25327500000000003,0.053724999999999995,0.298,2.4,0.0
Charlie Blackmon,0.2807552562127659,0.314,0.204,0.30558,0.024420000000000004,0.33299999999999996,6.0,0.0013385106382978725
Jonathan Lucroy,0.2896634586,0.3,0.22399999999999998,0.279594,0.037406,0.401,2.2,0.0
Tyson Ross,0.42958588,0.2,0.429,0.0,0.0,0.294,0.1,0.0
Ryan Flaherty,0.3045559395868001,0.33,0.231,0.17600000000000002,0.0,0.247,3.2,0.0008284209999999999
Eric Sogard,0.26866780900000004,0.164,0.25,0.33320999999999995,0.049789999999999994,0.32299999999999995,4.3,0.0
Tim Beckham,0.22734175750000005,0.25,0.14300000000000002,0.339375,0.035625000000000004,0.316,3.7,0.0
Jose Martinez,0.32331928242110636,0.34,0.26899999999999996,0.24909399999999995,0.019906,0.413,1.6,0.00019682425531914892
Hanley Ramirez,0.2409170058455224,0.283,0.153,0.28458,0.055420000000000004,0.313,4.2,0.0007349608208955223
Matt Carpenter,0.2746524522756,0.278,0.255,0.479,0.0,0.488,1.3,0.0018479070000000002
Josh Harrison,0.30305091199999995,0.318,0.303,0.34868,0.03032,0.34600000000000003,5.3,0.0
Dee Gordon,0.28038864139999997,0.33,0.222,0.23640600000000003,0.009594,0.179,7.0,0.0
Hunter Pence,0.23802507939999998,0.278,0.204,0.24042599999999997,0.092574,0.259,2.9,0.0
Kurt Suzuki,0.24795573254541356,0.268,0.228,0.379636,0.048364,0.379,1.6,0.00034782744360902244
Chris Iannetta,0.28507558594000004,0.29,0.23800000000000002,0.33299999999999996,0.0,0.387,1.0,0.00016055
Francisco Pena,0.2300256276,0.259,0.133,0.216804,0.050196000000000005,0.267,1.3,0.0
Denard Span,0.31620752764169013,0.284,0.28,0.29256,0.02544,0.36,5.2,0.0005263830985915494
Homer Bailey,0.23086308,0.375,0.0,0.0,0.0,0.154,0.1,0.0
Pedro Florimon,0.30052636740000005,0.371,0.297,0.32394599999999996,0.054054,0.324,6.9,0.0
Daniel Descalso,0.25320178760646156,0.339,0.214,0.42834,0.05566,0.444,4.0,0.0009841715384615384
Ehire Adrianza,0.30696619014999993,0.324,0.284,0.339475,0.027525000000000004,0.363,5.9,0.00047987499999999994
